text,category
plastic bottle,recyclable
water bottle,recyclable
empty milk carton,recyclable
cardboard box,recyclable
shipping box,recyclable
newspaper,recyclable
old magazine,recyclable
glass bottle,recyclable
glass jar,recyclable
aluminum can,recyclable
soda can,recyclable
tin can,recyclable
paper bag,recyclable
office paper,recyclable
plastic cup,recyclable
plastic container,recyclable
clean pizza box,recyclable
detergent bottle,recyclable
juice carton,recyclable
plastic lid,recyclable
where to throw plastic bottle,recyclable
can i recycle glass jar,recyclable
where should i put aluminum can,recyclable
how to dispose cardboard box,recyclable
is milk carton recyclable,recyclable
banana peel,organic
apple core,organic
orange peel,organic
food waste,organic
vegetable scraps,organic
egg shells,organic
tea leaves,organic
coffee grounds,organic
fruit waste,organic
leftover rice,organic
bread waste,organic
spoiled vegetables,organic
flower waste,organic
garden leaves,organic
grass clippings,organic
how to dispose banana peel,organic
where do i throw food waste,organic
can i compost vegetable scraps,organic
is apple core organic waste,organic
where to put garden leaves,organic
used tissue,trash
dirty napkin,trash
broken ceramic plate,trash
diapers,trash
styrofoam plate,trash
cigarette butts,trash
dust waste,trash
broken mirror,trash
plastic wrapper,trash
chip packet,trash
used sponge,trash
toothpaste tube,trash
razor blade,trash
old cloth rag,trash
thermocol,trash
where to throw dirty napkin,trash
can i recycle styrofoam,trash
how to dispose diapers,trash
is broken mirror recyclable,trash
where to throw chip packet,hazardous
old battery,hazardous
used battery,hazardous
car battery,hazardous
fluorescent bulb,hazardous
paint can,hazardous
chemical waste,hazardous
cleaning chemical bottle,hazardous
pesticide container,hazardous
expired medicine,hazardous
nail polish bottle,hazardous
where to throw old battery,hazardous
how to dispose paint can,hazardous
is expired medicine hazardous,hazardous
where should i put chemical waste,hazardous
can i recycle fluorescent bulb,e-waste
broken charger,e-waste
old laptop,e-waste
broken phone,e-waste
used keyboard,e-waste
old television,e-waste
damaged printer,e-waste
old monitor,e-waste
used headphones,e-waste
electronic circuit board,e-waste
old mouse,e-waste
damaged remote,e-waste
broken tablet,e-waste
old router,e-waste
used hard drive,e-waste
old CPU,e-waste
where to throw broken phone,e-waste
how to dispose old laptop,e-waste
is keyboard e waste,e-waste
where should i put damaged printer,e-waste
can i recycle old monitor,recyclable
empty shampoo bottle,recyclable
plastic food container,recyclable
magazine paper,recyclable
steel can,recyclable
cereal box,recyclable
where to throw cereal box,recyclable
is shampoo bottle recyclable,recyclable
can i recycle steel can,organic
rotten fruit,organic
vegetable peels,organic
spoiled bread,organic
tea bags,organic
coffee filter,organic
where to throw rotten fruit,organic
can i compost tea bags,trash
used paper towel,trash
greasy pizza box,trash
foam cup,trash
broken toy,trash
where to throw broken toy,trash
is foam cup recyclable,hazardous
expired paint,hazardous
old medicine bottle,hazardous
battery acid,hazardous
where to dispose expired paint,hazardous
can i throw battery acid,e-waste
old headphones,e-waste
damaged charger,e-waste
broken USB cable,e-waste
where to throw damaged charger,e-waste
is broken USB cable e waste,recyclable
plastic grocery bag,recyclable
glass cup,recyclable
paper envelope,recyclable
where to throw glass cup,recyclable
can i recycle paper envelope,organic
meat waste,organic
fish bones,organic
leftover curry,organic
where to throw fish bones,trash
used sanitary pads,trash
broken bucket,trash
plastic straw,trash
where to throw plastic straw,e-waste
old microwave,e-waste
broken iron box,e-waste
damaged blender,e-waste
where to throw old microwave,e-waste
can plastic hanger be recycled,recyclable
where to throw broken glass bottle,recyclable
is oily pizza box recyclable,trash
how to dispose cracked plastic bucket,recyclable
can i recycle detergent cap,recyclable
where should i put old cardboard,recyclable
is torn newspaper recyclable,recyclable
how to throw away empty soda bottle,recyclable
can milk packet be recycled,recyclable
where do i throw plastic spoon,trash
,
can i compost cooked rice,organic
where to throw leftover chicken bones,organic
is meat waste compostable,organic
how to dispose spoiled milk,organic
can fruit peels go in compost,organic
where should i put garden waste,organic
is tea bag compostable,organic
how to dispose coffee powder,organic
can i compost bread crumbs,organic
where to throw rotten vegetables,organic
,
can i throw thermocol in recycle bin,trash
where to dispose broken ceramic mug,trash
is dirty tissue recyclable,trash
how to throw away foam plate,trash
can plastic straw be recycled,trash
where should i put used diaper,trash
is bubble wrap recyclable,trash
how to dispose dusty cloth,trash
can i recycle greasy paper,trash
where to throw broken flower pot,trash
,
where to dispose car engine oil,hazardous
can expired syrup go in trash,hazardous
how to throw away nail polish remover,hazardous
is mosquito spray can hazardous,hazardous
where should i put bleach bottle,hazardous
can i recycle paint thinner can,hazardous
how to dispose old pesticide bottle,hazardous
is acid bottle dangerous waste,hazardous
where to throw used medical gloves,hazardous
can sanitizer bottle be hazardous,hazardous
,
can broken power bank be recycled,e-waste
where to dispose old speaker,e-waste
is damaged extension cord e waste,e-waste
how to throw away old calculator,e-waste
can remote batteries go in e waste,e-waste
where should i put broken laptop screen,e-waste
is old camera e waste,e-waste
how to dispose used printer cartridge,e-waste
can i recycle cracked mobile phone,e-waste
where to throw damaged hard disk,e-waste
,
is plastic takeaway box recyclable,recyclable
where to dispose cereal carton,recyclable
can aluminum foil be recycled,recyclable
how to throw glass perfume bottle,recyclable
is paper notebook recyclable,recyclable
where should i put empty jam jar,recyclable
can i recycle shampoo cap,recyclable
how to dispose steel food can,recyclable
is clean cardboard tube recyclable,recyclable
where to throw empty lotion bottle,recyclable
,
can i compost onion peels,organic
where to throw spoiled fruits,organic
is leftover pasta organic waste,organic
how to dispose egg shells,organic
can fish leftovers go to compost,organic
where should i put tea leaves,organic
is vegetable curry compostable,organic
how to throw away stale bread,organic
can fruit seeds be composted,organic
where to dispose plant trimmings,organic
,
can i throw broken plastic toy in recycle,trash
where to dispose cracked mirror,trash
is sponge recyclable,trash
how to throw away old mop,trash
can chocolate wrapper be recycled,trash
where should i put plastic fork,trash
is thermocol cup recyclable,trash
how to dispose broken hanger,trash
can dirty cardboard be recycled,trash
where to throw used cotton swab,trash
,
can i pour paint in sink,hazardous
where to dispose expired tablets,hazardous
is chemical cleaner hazardous,hazardous
how to throw away old lighter,hazardous
can used syringe go in trash,hazardous
where should i put acid cleaner,hazardous
is glue bottle hazardous waste,hazardous
how to dispose insecticide spray,hazardous
can i recycle old medicine strip,hazardous
where to throw used batteries safely,hazardous
,
can broken USB drive be recycled,e-waste
where to dispose old router wire,e-waste
is damaged TV remote e waste,e-waste
how to throw away old keyboard,e-waste
can cracked tablet be repaired or recycled,e-waste
where should i put old headphones,e-waste
is power adapter e waste,e-waste
how to dispose broken charger cable,e-waste
can i recycle old motherboard,e-waste
where to throw damaged CPU fan,e-waste
,
is plastic water jug recyclable,recyclable
where to dispose paper carton box,recyclable
can glass pickle jar be recycled,recyclable
how to throw empty oil bottle,recyclable
is clean milk packet recyclable,recyclable
where should i put soda bottle cap,recyclable
can i recycle juice tetra pack,recyclable
how to dispose aluminum tray,recyclable
is cardboard egg tray recyclable,recyclable
where to throw plastic detergent pouch,recyclable
,
can fruit waste go in trash,organic
where to dispose spoiled meat,organic
is leftover fish organic,organic
how to throw away rotten bread,organic
can vegetable peels go in garbage,organic
where should i put compost waste,organic
is garden soil organic waste,organic
how to dispose stale cake,organic
can leftover rice be composted,organic
where to throw used tea powder,organic
old paper,recyclable
old newspaper,recyclable
old cardboard box,recyclable
used paper sheets,recyclable
waste paper,recyclable
scrap paper,recyclable
old notebook paper,recyclable
printed office paper,recyclable
white paper sheets,recyclable
used exam paper,recyclable
old milk carton,recyclable
old juice carton,recyclable
old cereal box,recyclable
old magazine paper,recyclable
old paper bag,recyclable
old cardboard tube,recyclable
old pizza box clean,recyclable
old shipping box,recyclable
old glass bottle,recyclable
old plastic container,recyclable
old banana peel,organic
old bread,organic
old vegetable scraps,organic
old fruit waste,organic
old apple core,organic
old orange peel,organic
old rice leftovers,organic
old tea leaves,organic
old coffee grounds,organic
old garden leaves,organic
paper waste,recyclable
discarded paper,recyclable
used writing paper,recyclable
paper notebook,recyclable
old carton box,recyclable
old egg carton,recyclable
old cardboard packaging,recyclable
old paper envelope,recyclable
old wrapping paper,recyclable
old cardboard sheet,recyclable
organic fruit waste,organic
organic vegetable waste,organic
leftover food waste,organic
spoiled fruit waste,organic
spoiled vegetable scraps,organic
stale bread pieces,organic
banana skin waste,organic
fruit peel waste,organic
used tea powder,organic
vegetable peel waste,organic
